aalib 1.4rc5-18
noto-fonts-emoji 1:2.048-1
npth 1.8-1
nspr 4.36-1
nss 3.113.1-1
numactl 2.0.19-1
ocean-sound-theme 6.4.2-1
ocl-icd 2.3.3-1
oh-my-zsh-git r7548.3e7ef0182-1
onetbb 2022.2.0-1
oniguruma 6.9.10-1
openal 1.24.3-1
openbsd-netcat 1.229_1-1
opencore-amr 0.1.6-2
opencv 4.12.0-1
openexr 3.3.4-1
openjpeg2 2.5.3-1
openssh 10.0p1-3
openssl 3.5.1-1
openxr 1.1.43-1
opus 1.5.2-1
orc 0.4.41-1
osinfo-db 20250606-1
ostree 2025.2-3
oxygen 6.4.2-1
oxygen-sounds 6.4.2-1
p11-kit 0.25.5-1
pacman 7.0.0.r6.gc685ae6-6
pacman-mirrorlist 20250702-2
pahole 1:1.30-2
pam 1.7.1-1
pambase 20230918-2
pango 1:1.56.4-1
pangomm 2.46.4-1
pangomm-2.48 2.56.1-1
parted 3.6-2
patch 2.8-1
pavucontrol 1:6.1-1
pciutils 3.14.0-1
pcre 8.45-4
pcre2 10.45-1
pcsclite 2.3.3-1
perf 6.15-1
perl 5.40.2-1
perl-error 0.17030-1
perl-io-tty 1.20-2
perl-ipc-run 20231003.0-2
perl-mailtools 2.22-1
perl-time-duration 1:1.21-2
perl-timedate 2.33-7
phodav 3.0-4
phonon-qt6 4.12.0-4
phonon-qt6-mpv 0.1.0-3
pinentry 1.3.1-5
pipewire 1:1.4.6-1
pipewire-alsa 1:1.4.6-1
pipewire-audio 1:1.4.6-1
pipewire-jack 1:1.4.6-1
pipewire-pulse 1:1.4.6-1
pipewire-session-manager 1:1.4.6-1
pixman 0.46.2-1
pkgconf 2.5.1-1
plasma-activities 6.4.2-1
plasma-activities-stats 6.4.2-1
plasma-browser-integration 6.4.2-1
plasma-desktop 6.4.2-1
plasma-disks 6.4.2-1
plasma-firewall 6.4.2-1
plasma-integration 6.4.2-1
plasma-nm 6.4.2-1
plasma-pa 6.4.2-1
plasma-sdk 6.4.2-1
plasma-systemmonitor 6.4.2-1
plasma-thunderbolt 6.4.2-1
plasma-vault 6.4.2-1
plasma-welcome 6.4.2-1
plasma-workspace 6.4.2-1
plasma-workspace-wallpapers 6.4.2-1
plasma5support 6.4.2-1
playerctl 2.4.1-4
plocate 1.1.23-1
plymouth 24.004.60-10
plymouth-kcm 6.4.2-1
polkit 126-2
polkit-gnome 0.105-11
polkit-kde-agent 6.4.2-1
polkit-qt6 0.200.0-1
poppler 25.06.0-1
poppler-data 0.4.12-2
poppler-glib 25.06.0-1
poppler-qt6 25.06.0-1
popt 1.19-2
portaudio 1:19.7.0-3
powerdevil 6.4.2-1
ppp 2.5.2-1
pps-tools 1.0.3-2
print-manager 1:6.4.2-1
prison 6.15.0-1
procps-ng 4.0.5-3
protobuf 31.1-1
psensor 1.2.1-4
psmisc 23.7-1
pugixml 1.15-2
pulseaudio-alsa 1:1.2.12-4
pulseaudio-qt 1.7.0-1
purpose 6.15.0-1
pycharm-community-edition 2025.1.3-1
python 3.13.5-1
python-attrs 25.3.0-1
python-autocommand 2.2.2-7
python-build 1.2.2-3
python-cairo 1.28.0-1
python-certifi 2025.06.15-1
python-cffi 1.17.1-2
python-charset-normalizer 3.4.2-1
python-cryptography 45.0.5-1
python-filelock 3.18.0-1
python-gobject 3.52.3-3
python-idna 3.10-2
python-installer 0.7.0-10
python-jaraco.collections 5.1.0-1
python-jaraco.context 6.0.1-1
python-jaraco.functools 4.1.0-1
python-jaraco.text 4.0.0-2
python-lxml 6.0.0-1
python-more-itertools 10.7.0-1
